ticket_id,city,issue_type,ticket_status,issue_description,rating,ticket_closed_date_time,acknowledged_at,ticket_created_date_time,ticket_last_updated_date_time,address,lat,lng,location,image
150563,City of Chelsea,Pothole,Archived,"Near the top of the on-ramp there are a few ever-increasing holes. They line up with the front and back right hand tires and are completely devoid of any concrete. If we happen to get any snow this winter there will be many flat tires from this issue! Please address the issues of this on-ramp, it will make getting onto the Tobin bridge from this entrance not feel like I'm dogging mines!!!",2,01/24/2012 09:26:54 AM,01/17/2012 01:42:34 PM,01/14/2012 06:01:19 AM,08/11/2012 02:10:26 PM,"Adamski Memorial Hwy Chelsea, MA",42.3903881324794,-71.0413899087982,"(42.3903881325, -71.0413899088)",
937450,Needham,Winter Weather Issues,Archived,Please remove snow obstructing right lane of traffic in this area per Needham PD.,3,02/13/2014 04:46:51 AM,02/12/2014 09:42:32 AM,02/12/2014 09:36:45 AM,02/13/2014 04:46:52 AM,"252 Kendrick St Needham, MA",42.294599,-71.218816,"(42.294599, -71.218816)",
907257,City of Somerville,Snow-Streets not shoveled,Archived,"some things can be relied upon, the church at this address failing in its civic duty is one of them. Feet through the day have done the job on College, but Morrison is a mess.",3,03/18/2014 10:12:54 AM,01/23/2014 08:39:04 AM,01/22/2014 06:52:10 PM,03/18/2014 10:12:54 AM,"45 College Avenue Somerville, MA 02144, USA",42.397996,-71.121084,"(42.397996, -71.121084)",
941612,City of Quincy,Snow Plowing,Open,"Hannaford is happy to take our money, but they keep ignoring those local customers who walk to the store.  Now we have to walk through 6 inches of icy water to get through the side entrance as well as skate on the ice patches.  C'mon and help out your customers.  For pictures for a similar lack of snow removal see this link  https://seeclickfix.com/issues/856185",2,,,02/14/2014 06:18:46 PM,02/14/2014 06:43:12 PM,"511r Hancock Street Quincy, Massachusetts",42.2704436960057,-71.0223473851417,"(42.270443696, -71.0223473851)",
859240,City of Somerville,Snow-Streets not shoveled,Archived,Munro brakes has not shoveled Columbus Ave side of property at all. Pedestrians are forced to walk in the street.,4,12/23/2013 10:13:07 AM,12/19/2013 08:52:20 AM,12/19/2013 08:43:20 AM,12/23/2013 10:13:07 AM,"Washington St @ Washington Terr Somerville, MA 02143, USA",42.3795424797107,-71.0928909857199,"(42.3795424797, -71.0928909857)",https://seeclickfix.com/files/issue_images/0016/7891/1387460561724.jpg
961448,Chicopee,Other,Open,"Crossfit on Chicopee St, parks there cars on Shepherd St., Making the street very narrow and unsafe.  They also plow there snow onto the sidewalks and curbs making the snow banks stick out more causing the cars to park further out.  Also crossfit members run down shepherd st all the time sometimes in large groups.  This disrupts traffic and safety for the runners and cars.  This sometimes starts at 6 am and runs as late as 8 pm.  Police have been called about parking.  Nothing gets done.  Please help us with this problem.",1,,,02/27/2014 06:57:03 PM,02/27/2014 06:57:03 PM,"Shepherd St Chicopee, MA",42.1799357357311,-72.6177472449524,"(42.1799357357, -72.617747245)",
1073744,Needham,"Berm Issues (Loam, Rake, Re-seed)",Archived,berm damaged by snow plows,3,05/15/2014 08:34:05 AM,05/12/2014 11:21:37 AM,05/12/2014 11:21:29 AM,05/15/2014 08:34:05 AM,"172 High Gate St Needham, Massachusetts",42.28461,-71.216295,"(42.28461, -71.216295)",
928773,Randolph,Other,Archived,"Mt. Pleasant Sq. is a difficult area to plow, between Roel St. and Mt. Pleasant Sq. ending up on hill access to private home. I think this storm was tough with the heavy snow, sleet, and then rain. Thank you for a difficult job done very well.",2,02/06/2014 03:37:57 PM,,02/06/2014 01:46:21 PM,02/06/2014 03:37:57 PM,"Mt. Pleasant Sq. Randolph, MA",42.1719078,-71.0455623,"(42.1719078, -71.0455623)",
426089,Malden,Sidewalk,Archived,Sidewalk  is blocked by the snow removed from driveway.,3,02/25/2013 03:36:34 PM,,02/25/2013 12:56:59 PM,09/09/2013 03:08:59 PM,"114 Salem Street Malden, MA",42.428461,-71.0631429,"(42.428461, -71.0631429)",
442218,Barnstable,Potholes,Archived,"Eliptical on shape about 3ft x 2ft 5"" deep near drain basin",2,03/18/2013 07:16:59 AM,,03/17/2013 02:33:31 PM,04/16/2013 04:50:26 PM,"63 Snow Creek Drive Hyannis, MA 02601, USA",41.6430015563965,-70.2839126586914,"(41.6430015564, -70.2839126587)",https://seeclickfix.com/files/issue_images/0011/1670/1363545323989.jpg
1351619,Saugus,Graffiti,Archived,169 Essex st. has a large wood sign add  for snow removal.The is a residential area not a place to promote a business.,2,11/10/2014 03:04:13 PM,11/10/2014 09:01:27 AM,11/05/2014 08:40:31 PM,11/10/2014 03:04:13 PM,"169 Essex St Saugus, MA",42.4525844,-71.0186554,"(42.4525844, -71.0186554)",
444351,Malden,Winter Weather,Archived,There was a waist high mound of snow/ice blocking the middle of the driveway at 24 Wilbur Street.  The elderly resident has made two attempts to clear it herself but needs help with what is left because it is frozen solid.,3,03/21/2013 08:55:24 PM,,03/20/2013 03:28:02 PM,03/30/2013 12:05:12 AM,"24 Wilbur Street Malden, MA",42.44047,-71.049598,"(42.44047, -71.049598)",
487654,Randolph,Other,Archived,stop sign on pine ave heading north at intersection with cedar ave missing since last snow storm,4,04/25/2013 03:59:40 PM,04/24/2013 07:53:41 PM,04/24/2013 04:13:45 PM,05/13/2013 04:37:34 PM,"48-56 Pine Avenue Randolph, MA 02368, USA",42.179468,-71.037337,"(42.179468, -71.037337)",
932217,City of Somerville,Snow-Streets not shoveled,Archived,This resident did not shovel their sidewalk sufficiently.  Wheelchairs cannot pass on this portion of sidewalk and are required to travel on the street.,4,03/17/2014 03:30:41 PM,02/18/2014 04:56:30 PM,02/08/2014 08:17:55 AM,03/17/2014 03:30:41 PM,"54 Park Street Somerville, MA 02143, USA",42.3810149792964,-71.1074854402106,"(42.3810149793, -71.1074854402)",
1379063,Malden,Snow Removal - Public Roads and Sidewalks,Archived,Blomerth needs to be plowed and sanded,1,11/26/2014 08:57:32 PM,11/26/2014 08:00:27 PM,11/26/2014 07:57:56 PM,11/26/2014 08:57:33 PM,"Blomerth St Malden, Massachusetts",42.4378081,-71.0855269,"(42.4378081, -71.0855269)",
860357,City of Somerville,Snow- Request DPW to Shovel Public Property,Archived,608 Broadway hasn't shoveled and melting water on top of uneven compacted snow has created an incredibly slippery walking surface.,2,12/23/2013 10:21:10 AM,12/20/2013 11:54:12 AM,12/20/2013 11:50:42 AM,12/23/2013 10:21:11 AM,"608 Broadway Somerville, MA 02145, USA",42.398739,-71.109122,"(42.398739, -71.109122)",
952031,City of Somerville,Snow-Streets not shoveled,Archived,"Ice, ice everywhere",3,03/13/2014 07:19:29 PM,02/27/2014 07:23:45 PM,02/22/2014 01:39:43 AM,03/13/2014 07:19:30 PM,"239 Cedar Street Somerville, MA 02145, USA",42.3963926985162,-71.1092952269126,"(42.3963926985, -71.1092952269)",
855809,Everett,Snow Removal,Archived,parking ban never enforced on Bradford st the people were supposed to park on even side still parked both sides and nobody got a ticket or towed.,2,03/06/2014 03:41:49 PM,,12/16/2013 01:30:45 PM,03/06/2014 03:41:49 PM,"174 Bradford St Everett, MA",42.416966,-71.05763,"(42.416966, -71.05763)",
956147,Lowell,Abandoned Vehicle,Acknowledged,I am not able to give a make or model as this car parked on the street is pretty much buried by snow? Could someone let me know what streets the parking ban applies to because there appear to be cars like this throughout the city but only some streets are getting tickets and towed?  Thank you!,3,,04/01/2014 08:43:26 AM,02/24/2014 01:42:18 PM,04/01/2014 08:43:26 AM,"Columbus Ave  Lowell, MA",42.6398176,-71.3301294,"(42.6398176, -71.3301294)",
944525,City of Somerville,Snow- Request DPW to Shovel Public Property,Archived,Please remove the pile of snow from the rear of Veterans Memorial Skating Rink.Thank you.,3,03/17/2014 11:34:35 AM,02/21/2014 11:39:21 AM,02/17/2014 11:24:32 AM,03/17/2014 11:34:35 AM,"570 Somerville Ave Somerville, MA",42.3836177,-71.1082615,"(42.3836177, -71.1082615)",
928547,Saugus,Snow Removal,Archived,"Saugus Avenue is getting neglected with each snow storm. This morning, my street was virtually impassable.",2,02/07/2014 08:40:29 AM,,02/06/2014 11:20:49 AM,02/07/2014 08:40:29 AM,"66 Saugus Avenue  Saugus , MA",42.4425173,-71.0037127,"(42.4425173, -71.0037127)",
1251174,Reading,Street,Archived,Huge snow heave bumps on the way down Victoria from Summer Ave.,3,09/02/2014 06:41:08 AM,08/25/2014 06:29:23 AM,08/22/2014 11:51:12 AM,09/02/2014 04:27:29 PM,"26 Victoria Ave Reading, Massachusetts",42.5170263,-71.1114653,"(42.5170263, -71.1114653)",https://seeclickfix.com/files/issue_images/0023/2765/SCF__20140822_1147111594383215.jpg
923994,Holyoke,Streets and Sidewalks,Archived,"YMCA members are repeatedly parking on the sidewalk when there are numerous spots available in their own lot and also on the street.  It's making the sidewalk inaccessible for strollers, the disabled, and passersby.  This could be remedied with signage, temporary cones, or a simple notice from the Y to its members.  The police have been coming every day, but not ticketing or towing and even sitting out front for long periods of time and telling people to park elsewhere.  It's not helping as many cars continue to park each day.  Someone is going to slip and really get hurt by having to walk in the snow and ice in the grass to pass the cars.",4,11/01/2014 09:57:40 AM,,02/03/2014 12:07:10 PM,11/01/2014 09:57:40 AM,"171 Pine St Holyoke, MA",42.207824,-72.614301,"(42.207824, -72.614301)",
860660,Everett,Parking Enforcement Issues,Archived,"What is the city policy on residents putting trash, furniture, or garbage pails in the street to ""reserve"" parking spots after snow?  It seems like a road hazard and rude behavior.",2,02/27/2014 08:59:25 AM,,12/20/2013 08:48:49 PM,02/27/2014 08:59:26 AM,"40 Vernal St Everett, MA",42.4144395,-71.0544332,"(42.4144395, -71.0544332)",
943097,Everett,Snow Removal,Archived,"3 to 4 inches of ice on Estes Court, IT WAS NEVER PLOWED LAST STORM",2,03/06/2014 03:41:48 PM,,02/15/2014 01:55:48 PM,03/06/2014 03:41:48 PM,"2-10 Estes Court Everett, Massachusetts",42.4193192170161,-71.0543375897892,"(42.419319217, -71.0543375898)",https://seeclickfix.com/files/issue_images/0017/6976/IMG_3948.JPG
954492,City of Somerville,Snow-Streets not shoveled,Archived,"A week after the last storm, passing this property's sidewalk is still difficult. It was totally snowy and is now a giant puddle bounded by snow.",3,03/17/2014 11:06:38 AM,02/27/2014 02:19:44 PM,02/23/2014 06:51:31 PM,03/17/2014 11:06:38 AM,"122 Holland St. Somerville, MA",42.399517,-71.125341,"(42.399517, -71.125341)",https://seeclickfix.com/files/issue_images/0017/8678/sidewalk__1_.jpg
939857,Revere,Storm Water,Archived,the water is coming into my driveway because the pile of snow from last week  is blocking the water from going down leverett and im afraid my house is going to flood,3,02/27/2014 08:51:51 AM,02/14/2014 08:42:16 AM,02/13/2014 07:17:30 PM,02/27/2014 08:51:51 AM,"Endicott At Leverett Revere, MA",42.3984092,-70.9878517,"(42.3984092, -70.9878517)",
936316,Needham,Winter Weather Issues,Archived,120 Linden St threw snow all over the sidewalk in the last storm and the elderly on that street can't maneuver around it.  Please salt / sand Linden St sidewalk before the next storm.,3,02/13/2014 04:47:19 AM,02/11/2014 01:54:10 PM,02/11/2014 01:53:55 PM,02/13/2014 04:47:20 AM,"120 Linden St Needham, MA",42.276054,-71.241016,"(42.276054, -71.241016)",
944902,City of Quincy,Snow Plowing,Open,Several cars that belong to the tenants of the Hamilton Apartment building  at 1025 Hancock St.park overnight on the even side of the Street hampering the snow removal.,2,,,02/17/2014 07:55:01 PM,02/17/2014 08:35:53 PM,"1-27 Butler Road Quincy, MA 02169, USA",42.2575339011822,-71.0077473616124,"(42.2575339012, -71.0077473616)",
875761,Malden,Winter Weather,Archived,The road has more than two inches of snow with visible deep skid and tire marks.,2,01/03/2014 11:28:37 PM,,01/03/2014 10:32:02 AM,01/03/2014 11:28:37 PM,"Regent Road Malden, MA",42.4155797,-71.0667399,"(42.4155797, -71.0667399)",
943315,Needham,Winter Weather Issues,Archived,"A lot of fire hydrants along Central Av, maybe other places in NDM, blocked in by snow, sometimes natural, sometimes plowed in.  In an emergency firefighters would have to take time to clear the hydrants for use while more stuff & ppl burn.  I kicked some snow away today to clear some of the spigots,  but this is a job for snow removal equipt & not just boots.   For maximal speed in FD lifesaving operations, would keep the hydrants clear",2,04/22/2014 12:23:52 PM,02/19/2014 08:22:21 AM,02/15/2014 10:16:27 PM,04/22/2014 12:23:52 PM,"Along Central Av maybe other places, Needham, MA",42.2809285,-71.2377548,"(42.2809285, -71.2377548)",
1122568,Woburn,Street Maintenance,Archived,Lowell st 1/2 way through the woods and by the swamp where the houses are there is a 8 foot long puddle when it rains or snows,2,06/18/2014 11:14:52 AM,,06/13/2014 11:37:48 AM,06/18/2014 11:14:52 AM,"Lowell St Woburn, Massachusetts",42.4949534,-71.1631386,"(42.4949534, -71.1631386)",
949217,Revere,Other,Archived,There is a huge snow bank and a big stretch of uncleared sidewalk that is forcing residents to walk in the street to get to the beachmont train station,2,02/20/2014 02:02:23 PM,,02/20/2014 01:35:29 PM,02/20/2014 02:02:23 PM,"64-198 Bennington Street Revere, MA 02151, USA",42.3949514789476,-70.9932941557788,"(42.3949514789, -70.9932941558)",https://seeclickfix.com/files/issue_images/0017/7971/1392921291431.jpg
506087,City of Quincy,Traffic - Sign/Crosswalk,Acknowledged,Marion st sign knocked crooked by snow plow at intersection of Marion st and prospect Ave.,3,,05/08/2013 02:44:11 PM,05/04/2013 09:48:01 PM,07/09/2013 01:43:10 PM,"24 Prospect Avenue Quincy, MA 02170, USA",42.2625078663918,-71.0217599973921,"(42.2625078664, -71.0217599974)",
961375,Holyoke,Streets and Sidewalks,Acknowledged,Turning off 116s onto Lyman st. The melter snow is now glare ice and makes the turn very tricky and dangerous.,2,,03/04/2014 10:59:17 AM,02/27/2014 05:31:19 PM,03/04/2014 10:59:18 AM,"15 Massachusetts 116 Holyoke, Massachusetts",42.207103116303,-72.6011297106743,"(42.2071031163, -72.6011297107)",
400025,City of Chelsea,Other,Archived,Snow and slippery ice near the beginning of Marlborough (right before 1 Marlborough). It's actually the responsibility of the multi-unit red brick condo building on Shurtleff St. to shovel the side of their building (which is on the Marlborough St. side but they seem to think that they need to only shovel the front of their building and the sidewalk on the side of their building is not their responsibility).,2,04/05/2013 07:29:36 AM,02/13/2013 07:28:15 AM,02/12/2013 11:26:14 PM,04/13/2013 05:51:28 AM,"Near 1 Marlborough St. Chelsea, MA",42.3932965,-71.032401,"(42.3932965, -71.032401)",
856189,Saugus,Snow Removal,Archived,Street very slippery--needs sand to melt ice on street can not walk -people are falling down,2,12/23/2013 09:26:03 AM,,12/16/2013 09:31:17 PM,12/23/2013 09:26:03 AM,"Maple St Saugus, Mass",42.450405,-71.013861,"(42.450405, -71.013861)",
858030,Malden,Traffic,Archived,Car on Hancock street Not towed during snow emergency!,4,01/04/2014 07:27:12 AM,12/18/2013 10:53:38 AM,12/18/2013 09:55:34 AM,01/04/2014 07:27:12 AM,"2 Hancock Street Everett, MA 02149, USA",42.4190940856934,-71.0634918212891,"(42.4190940857, -71.0634918213)",https://seeclickfix.com/files/issue_images/0016/7772/1387378245369.jpg
943530,Malden,Traffic,Archived,"The sign warning pedestrians to ""watch for turning cars on the walk signal"" is lying in the snow in the median next to the crosswalk. How about replacing it with a sign more consistent with the law? Instead of advising walkers to beware of the all-too-many scofflaw motorists, a sign reminding drivers they must yield to pedestrians in the crosswalk, or risk a $200 fine.",2,03/20/2014 02:19:23 PM,,02/16/2014 05:25:18 AM,03/20/2014 02:19:23 PM,"Salem St And Main Street Malden, MA",42.4227805,-71.0672548,"(42.4227805, -71.0672548)",
857140,City of Somerville,Snow- Request DPW to Shovel Public Property,Archived,"Somerville Avenue. Many snow piles in bike lane, especially at intersections. Requires cyclist to ride in motorists' lane.",3,12/23/2013 10:07:48 AM,12/17/2013 11:39:23 AM,12/17/2013 11:36:22 AM,12/23/2013 10:07:48 AM,"622-624 Somerville Avenue Somerville, MA 02143, USA",42.3840888979541,-71.1104882543793,"(42.384088898, -71.1104882544)",
